,Accuracy,Precision,Recall,F1-Score,ROC-AUC
KNN,0.9217318900915903,0.45,0.09782608695652174,0.16071428571428573,0.6878302470345831
Logistic Regression,0.9245073549819595,0.5416666666666666,0.09420289855072464,0.16049382716049382,0.8236028889672987
Random Forest,0.9317235636969192,0.6704545454545454,0.213768115942029,0.3241758241758242,0.8349908304038542
XGBoost,0.9270052733832918,0.549618320610687,0.2608695652173913,0.3538083538083538,0.832517653106119
